chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	delta	direction	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133178.1	42715261	42715940	0.85837365	16.62466509	280	cgi1490	0.912322527	73.64285714	52	-0.053948877	No change	57931		
NC_133192.1	26497580	26497810	0.919296924	12.49128899	113	cgi7797	0.972738265	40.025	40	-0.053441341	No change	557621		
NC_133182.1	79960502	79961085	0.398801531	17.15454545	220	cgi3692	0.345507124	101.6964286	56	0.053294407	No change	100330629		
NC_133180.1	3633198	3633435	0.033445836	16.13768116	138	cgi2131	0.086732513	20.83928571	35	-0.053286677	No change	572332		
NC_133185.1	46175347	46175642	0.017651574	14.4	150	cgi5006	0.070896834	53.484375	64	-0.05324526	No change	559877		
NC_133183.1	13053682	13053986	0.76059209	14.18508454	143	cgi3860	0.70739435	131.9	40	0.05319774	No change	436639		
NC_133194.1	44639087	44639550	0.852611032	18.58585859	198	cgi8778	0.799453751	102.0730519	26	0.053157281	No change	557667		
NC_133196.1	47333184	47333491	0.857547371	19.86231884	138	cgi9688	0.804391884	77.81006865	80	0.053155487	No change	555437		
NC_133197.1	36952331	36952595	0.431090044	12.20906433	113	cgi10080	0.377952683	45.75	32	0.053137361	No change	561685		
NC_133177.1	1507448	1507691	0	16.23809524	126	cgi662	0.053001166	21.63541667	20	-0.053001166	No change	108180213		
NC_133182.1	7452856	7453127	0.828292633	11.15519324	143	cgi3232	0.775525597	27.87272728	56	0.052767036	No change	559340		
NC_133200.1	34722356	34722885	0.005390218	10.7008547	234	cgi11107	0.058038335	33.80555556	33	-0.052648117	No change	494096		
NC_133177.1	19288318	19288976	0.804305	17.24468085	282	cgi762	0.856939428	73.84375	32	-0.052634428	No change	100150892		
NC_133192.1	36357571	36357789	0.189237898	12.87121212	132	cgi7864	0.136639464	132.9107143	56	0.052598434	No change	137488125		
NC_133191.1	59665002	59665240	0.898785801	20.68589744	156	cgi7537	0.846366386	44.27272727	88	0.052419416	No change	no_gene		
NC_133196.1	6065253	6065621	0.045650216	13.16966231	214	cgi9452	0.098004574	56.35294118	68	-0.052354359	No change	141379962;555985		
NC_133182.1	79714019	79714467	0.925591022	11.83896185	242	cgi3679	0.977934767	79.40909092	77	-0.052343745	No change	436996		
NC_133200.1	7234871	7235140	0.91349817	14.03996102	113	cgi10965	0.965827502	52.25	20	-0.052329332	No change	560393		
NC_133188.1	36007499	36007726	0.896751678	10.00925926	106	cgi6071	0.949066319	44.04166667	24	-0.052314641	No change	565375		
NC_133192.1	59455594	59456177	0.949190432	14.25776144	303	cgi8002	0.896916212	44.49074074	108	0.05227422	No change	100334361;100330554		
NC_133191.1	59608895	59609408	0.944668268	13.44656807	278	cgi7531	0.892459175	68.52941177	68	0.052209092	No change	393403		
NC_133182.1	6215962	6216331	0.004766234	13.70114943	174	cgi3213	0.056847507	137.9271978	32	-0.052081273	No change	553782		
NC_133200.1	1695989	1697348	0.013473685	14.4905149	738	cgi10892	0.065362941	68.14569854	198	-0.051889257	No change	100321746;101883306		
NC_133187.1	4712898	4713173	0.938867491	10.97619048	126	cgi5548	0.887000194	26.05555556	31	0.051867297	No change	541323		
NC_133195.1	1613790	1614056	0.765362577	11.6409963	124	cgi8906	0.817066214	104.35	40	-0.051703637	No change	555348		
NC_133195.1	17697866	17698082	0.900218174	12.25555556	90	cgi8995	0.95189252	32.71428571	24	-0.051674346	No change	555843		
NC_133189.1	40533	41444	0.892441085	23.57555556	450	cgi6239	0.944056616	97.40626472	187	-0.051615531	No change	192333;100033594;100033579;100033617		
NC_133184.1	2000684	2000964	0.013396972	13.22727273	132	cgi4244	0.064949452	55.61764706	56	-0.05155248	No change	30479		
NC_133184.1	6475522	6475835	0.906804017	14.83333333	150	cgi4278	0.855358812	13.29112554	34	0.051445205	No change	393972		
NC_133183.1	30006196	30006523	0.87318423	16.25568182	142	cgi3988	0.821845458	20.54766082	62	0.051338772	No change	327415		
NC_133190.1	102732	103008	0.824745021	20.15277778	144	cgi6758	0.876003209	27.21754808	61	-0.051258188	No change	100000241		
NC_133186.1	3415681	3415893	0.950827718	14.46912625	111	cgi5119	0.899710448	38.625	29	0.05111727	No change	141376510;30259;141376506		
NC_133181.1	63368733	63370242	0.906371156	17.77536936	508	cgi3107	0.957405667	37.95507246	113	-0.05103451	No change	405874		
NC_133184.1	81912	82530	0.912957491	26.94318182	264	cgi4205	0.861957558	40.21428572	35	0.050999933	No change	799259		
NC_133192.1	36978211	36978445	0.835643504	10.582846	113	cgi7868	0.886614491	28.11111111	36	-0.050970988	No change	324142		
NC_133195.1	54413156	54413421	0.93011754	17.33333333	138	cgi9241	0.980971	40.75	44	-0.050853461	No change	327336		
NC_133179.1	1005037	1005281	0.915143431	11.7579191	110	cgi1673	0.965964164	23	34	-0.050820732	No change	445479		
NC_133191.1	32251551	32251821	0.857341749	11.88255361	113	cgi7329	0.908152958	12.68181818	40	-0.050811209	No change	30580		
NC_133194.1	4842159	4843275	0.00273055	13.06447034	577	cgi8575	0.053241415	91.41970919	147	-0.050510866	No change	799704		
NC_133185.1	39885656	39886031	0.059685058	18.4754902	204	cgi4951	0.110187872	49.25	36	-0.050502814	No change	558997		
NC_133195.1	26027509	26027874	0.122858761	15.60185185	216	cgi9039	0.173236572	142.1111111	36	-0.05037781	No change	369189		
NC_133194.1	3459856	3460287	0.615344819	15.07361111	231	cgi8561	0.565045478	45.78333334	42	0.050299341	No change	777627		
NC_133192.1	1005487	1006197	0.933610831	12.94765638	356	cgi7603	0.983848254	67.25	20	-0.050237423	No change	101884734		
NC_133180.1	32748016	32748625	0.137688589	16.20606061	330	cgi2312	0.187897333	65.84166667	23	-0.050208744	No change	no_gene		
NC_133181.1	492866	493608	0.947334404	14.33620448	418	cgi2712	0.897140356	36.89583333	48	0.050194048	No change	569855		
NC_133186.1	47664181	47664432	0.938260076	17.05050505	198	cgi5434	0.888072479	93.38273811	83	0.050187597	No change	556286		
NC_133182.1	20941353	20941892	0.020656834	11.25	240	cgi3332	0.070825636	58.3855042	56	-0.050168802	No change	101882165;114378		
NC_133186.1	29925936	29926176	0.816147602	13.91666667	108	cgi5266	0.866280005	79.26666667	60	-0.050132403	No change	324238		
NC_133177.1	45827187	45827627	0.878201451	13.08159393	201	cgi924	0.828116604	118.75	20	0.050084847	No change	100148976		
NC_133184.1	22980472	22980840	0.007622667	14.3755291	215	cgi4346	0.057689317	130.3462824	152	-0.05006665	No change	553961		
NC_133181.1	46422060	46423686	0.003642476	17.70383693	834	cgi2965	0.053626679	71.20751097	75	-0.049984203	No change	567355		
NC_133180.1	37897405	37898014	0.868013243	11.67552603	257	cgi2340	0.818029273	45.60909091	47	0.04998397	No change	572372		
NC_133197.1	10844385	10844872	0.252386491	11.63208231	255	cgi9926	0.202506865	55.8125	32	0.049879626	No change	402921		
NC_133187.1	26354708	26355230	0.418119032	13.34649123	228	cgi5628	0.368259957	55.40310731	85	0.049859075	No change	565531		
NC_133196.1	5626305	5626541	0.513921295	14.35	120	cgi9439	0.464170529	68.27631579	76	0.049750766	No change	402833		
NC_133197.1	724254	724496	0.141233184	17.70289855	138	cgi9794	0.190943509	105.8333333	24	-0.049710325	No change	no_gene		
NC_133188.1	39875833	39876555	0.910615644	18.4775641	312	cgi6107	0.960272906	57.48333333	60	-0.049657262	No change	560257		
NC_133187.1	147806	148743	0.850351427	19.96698831	455	cgi5458	0.899999884	67.45535714	112	-0.049648457	No change	797129		
NC_133180.1	36186250	36188536	0.005762496	14.42062901	1079	cgi2327	0.055396229	42.03447421	57	-0.049633733	No change	100005148		
NC_133186.1	46956393	46957078	0.585999949	14.69278034	376	cgi5408	0.536447675	22.61111111	36	0.049552274	No change	137496742;406614		
NC_133195.1	36330059	36330517	0.027929906	18.14634146	246	cgi9102	0.077480334	19.38461539	46	-0.049550428	No change	no_gene		
NC_133176.1	10519557	10519943	0.895143582	12.07717949	199	cgi141	0.944678098	46.02083333	96	-0.049534516	No change	567438		
NC_133187.1	49178195	49178575	0.905578622	13.09971264	169	cgi5770	0.95509677	11.29365079	43	-0.049518148	No change	334230		
NC_133192.1	6793665	6794009	0.924294869	18.23290598	161	cgi7645	0.973789546	55.05902778	34	-0.049494677	No change	108179076		
NC_133176.1	29353519	29353757	0.915469198	20.76967286	171	cgi246	0.964778166	139.0961538	52	-0.049308968	No change	141385733		
NC_133183.1	24735298	24736503	0.929211999	14.07671534	480	cgi3938	0.978480489	14.45833333	24	-0.04926849	No change	no_gene		
NC_133193.1	53275581	53275846	0.841726103	14.18409091	130	cgi8323	0.890843588	60.828125	64	-0.049117484	No change	560115		
NC_133182.1	1054044	1054660	0.838319496	10.460897	259	cgi3133	0.789295689	18.06108597	72	0.049023807	No change	100333928;393420		
NC_133183.1	56381815	56382315	0.879255169	11.76214564	245	cgi4076	0.928186462	54.49335749	77	-0.048931293	No change	101883998		
NC_133180.1	8682299	8682517	0.688656593	15.94444445	144	cgi2165	0.737530225	89.31250001	48	-0.048873632	No change	570900		
NC_133198.1	49459885	49460190	0.936376643	15.55179616	124	cgi10468	0.98498099	44.65625	28	-0.048604347	No change	100332943;100537620		
NC_133182.1	9176786	9177097	0.802365676	14.18589744	156	cgi3245	0.850965518	24.775	40	-0.048599843	No change	324407		
NC_133198.1	50413988	50414429	0.911830693	26.51388889	216	cgi10501	0.960418428	51.78977273	47	-0.048587736	No change	101885820;101885888		
NC_133193.1	21364078	21364711	0.014506149	13.14965986	294	cgi8186	0.062977154	11.52380952	42	-0.048471005	No change	567457		
NC_133193.1	54129791	54130170	0.956723698	23.66666667	192	cgi8358	0.908304	66.52777778	38	0.048419698	No change	100330789		
NC_133187.1	51607815	51608165	0.933302484	19.08333333	168	cgi5810	0.981668226	110.625	40	-0.048365743	No change	403012		
NC_133178.1	241063	242074	0.922284756	21.6011076	479	cgi1117	0.970617754	51.85484963	72	-0.048332998	No change	110438919		
NC_133198.1	2970338	2970570	0.868036763	16.32938597	119	cgi10173	0.916310319	159.1833333	60	-0.048273555	No change	100037310;141380616		
NC_133179.1	41742048	41743716	0.904940142	10.87531257	507	cgi1910	0.856811616	11.95781087	59	0.048128527	No change	103910556		
NC_133177.1	45344541	45344895	0.913861533	11.05323137	144	cgi914	0.96185238	12.875	40	-0.047990847	No change	570117		
NC_133178.1	23881801	23882406	0.938165804	12.64	300	cgi1371	0.986126768	24.83333333	34	-0.047960964	No change	564985		
NC_133179.1	9161634	9161897	0.904813106	10.19963273	126	cgi1775	0.856956242	37.77777778	36	0.047856863	No change	30105		
NC_133196.1	47804276	47804521	0.922713967	13.48947368	99	cgi9692	0.97053381	62.025	40	-0.047819844	No change	100005008		
NC_133192.1	182354	183587	0.912089674	24.84543364	758	cgi7561	0.959898836	64.44290936	210	-0.047809162	No change	569192		
NC_133179.1	12579567	12580605	0.005888749	17.88697318	522	cgi1804	0.053656683	101.1091429	61	-0.047767934	No change	562893		
NC_133195.1	51574115	51574644	0.909691513	12.7342739	273	cgi9217	0.95741137	72.53806818	164	-0.047719857	No change	100319138		
NC_133185.1	3169338	3169813	0.896731293	15.40688259	232	cgi4728	0.944214171	121.2083333	24	-0.047482879	No change	141376286;560884		
NC_133178.1	44147890	44148316	0.907171037	10.77598566	161	cgi1495	0.954624685	118.6	40	-0.047453648	No change	571246		
NC_133195.1	20285550	20285787	0.849167006	15.40151515	132	cgi9005	0.896613241	20	21	-0.047446235	No change	30291		
NC_133199.1	3232855	3233370	0.517137325	19.81060606	264	cgi10553	0.564495356	20.86923077	56	-0.047358031	No change	619244;30072		
NC_133199.1	41315928	41316208	0.927611456	10.73326498	105	cgi10763	0.974912984	119.8611111	72	-0.047301529	No change	406336		
NC_133194.1	534793	535049	0.937611249	12.26811594	130	cgi8491	0.984799383	13.02116402	28	-0.047188134	No change	100001285		
NC_133199.1	1079901	1081257	0.91229021	13.80516432	793	cgi10530	0.959401493	77.63398888	167	-0.047111283	No change	108178997		
NC_133177.1	3666584	3667130	0.917023877	14.65440846	232	cgi684	0.869919158	100.7222222	36	0.04710472	No change	447835		
NC_133187.1	50961298	50962062	0.947585235	15.94028692	377	cgi5793	0.900705858	33.55229377	70	0.046879377	No change	568166		
NC_133188.1	56276715	56277024	0.896730593	12.36111111	144	cgi6212	0.943582078	98	32	-0.046851486	No change	100331665		
NC_133188.1	2371570	2372036	0.935402157	12.84285714	210	cgi5889	0.982033286	53.75	24	-0.046631129	No change	325469;562652		
NC_133197.1	17974115	17974328	0.390296572	13.94117647	102	cgi10000	0.343688616	20.97222222	36	0.046607957	No change	110438274		
NC_133182.1	57756089	57756332	0.000445633	12.15151515	132	cgi3556	0.046946978	25.20833334	20	-0.046501345	No change	560364;30488		
NC_133198.1	46596029	46596325	0.914388498	17.44705882	117	cgi10421	0.960887586	85.75	28	-0.046499087	No change	no_gene		
NC_133184.1	11466891	11467161	0.801531421	13.6025641	156	cgi4301	0.847980802	92.44196428	84	-0.046449381	No change	561831		
NC_133189.1	38434	38642	0.61127559	24.19444445	144	cgi6238	0.65772391	30.66666667	48	-0.046448319	No change	503792;192333		
NC_133188.1	5902847	5903163	0.918583776	13.26472663	173	cgi5916	0.964850974	62.36363636	51	-0.046267198	No change	141377107;793290		
NC_133185.1	17332694	17333256	0.003270803	11.03030303	264	cgi4825	0.049495175	16.3939394	35	-0.046224372	No change	567620		
NC_133195.1	44510863	44511083	0.741263598	10.55	20	cgi9145	0.695111326	105.375	32	0.046152272	No change	566078		
NC_133187.1	160083	160327	0.717493121	26.92105263	114	cgi5463	0.763606757	12.12706044	41	-0.046113635	No change	324141		
NC_133185.1	48467226	48467431	0.933457352	10.78741259	95	cgi5028	0.979560722	83.02083333	48	-0.04610337	No change	323465		
NC_133200.1	7410040	7410250	0.653944512	10.23781513	76	cgi10967	0.607892648	19.5	20	0.046051864	No change	no_gene		
NC_133180.1	65279733	65280095	0.858199271	15.37126068	154	cgi2443	0.904189153	44.62072649	45	-0.045989882	No change	556406		
NC_133190.1	45289640	45289983	0.941306923	10.7015758	134	cgi7027	0.895533976	70.6958042	50	0.045772947	No change	100001934;445278		
NC_133200.1	40006483	40006684	0.928252614	11.03360076	140	cgi11229	0.974014226	73.92481203	71	-0.045761613	No change	100329471		
NC_133184.1	45945149	45945581	0.14204912	11.74806202	258	cgi4464	0.187802573	11.35192308	43	-0.045753453	No change	100037318;141376196		
NC_133192.1	238273	238581	0.920387421	18.40151515	132	cgi7572	0.96608932	48.15625	32	-0.045701899	No change	335110		
NC_133196.1	2309253	2309553	0.920857576	10.85302352	130	cgi9400	0.966512827	74.42074276	95	-0.045655251	No change	553510		
NC_133181.1	63336744	63337113	0.980856285	30.64516129	186	cgi3104	0.935258402	38.36469298	77	0.045597883	No change	569207		
NC_133193.1	14383347	14383762	0.000282965	12.91795231	178	cgi8145	0.045826279	26.07177034	68	-0.045543314	No change	570262		
NC_133192.1	1085456	1085659	0.913658738	10.12238248	89	cgi7604	0.959173619	81.46875	32	-0.04551488	No change	101884734		
NC_133198.1	26054804	26055167	0.390931643	24.94047619	168	cgi10268	0.345459854	61.27777778	72	0.045471789	No change	569122		
NC_133188.1	29297093	29297314	0.526271674	16.6984127	126	cgi6024	0.571609725	111.8055556	36	-0.045338051	No change	550568		
NC_133191.1	48295728	48295948	0.451432982	11.95098039	102	cgi7413	0.40620407	86.91666666	36	0.045228912	No change	568996		
NC_133199.1	45958113	45958403	0.793714525	11.9916574	184	cgi10823	0.748497485	60.74801588	45	0.04521704	No change	100331321		
NC_133186.1	45030692	45031563	0.945196367	11.70136477	371	cgi5376	0.900049442	90.475	40	0.045146925	No change	171474		
NC_133190.1	46384491	46384724	0.937935265	15.85555555	90	cgi7042	0.98305275	17.88888889	24	-0.045117484	No change	100332913		
NC_133181.1	61291197	61291819	0.918692687	15.83580099	280	cgi3048	0.963752836	61.15064103	147	-0.045060149	No change	100537363		
NC_133183.1	60526572	60526794	0.926979192	11.43582776	149	cgi4117	0.971825339	28.20833333	40	-0.044846147	No change	436920		
NC_133195.1	112826	113848	0.006132548	17.64021164	756	cgi8866	0.050960978	108.4428578	211	-0.04482843	No change	550384		
NC_133189.1	53362500	53362741	0.914889477	13.88621212	146	cgi6644	0.870216465	96.96502126	79	0.044673012	No change	101884594		
NC_133190.1	4831110	4831551	0.001450401	11.13636364	198	cgi6805	0.04609995	10.234375	53	-0.044649549	No change	795516		
NC_133180.1	28868325	28868531	0.001975149	14.70588235	102	cgi2291	0.046565511	28.98571429	26	-0.044590362	No change	141385822;570062		
NC_133180.1	761109	761335	0.132709295	24.8	120	cgi2094	0.088124572	29.41951872	44	0.044584724	No change	569360;564021		
NC_133197.1	40457820	40458427	0.92449658	11.55451727	356	cgi10116	0.969046008	80.08508771	68	-0.044549429	No change	563887		
NC_133188.1	36840778	36840982	0.010770102	21.97826087	138	cgi6082	0.055245493	108.4375	48	-0.044475391	No change	334402;100141360		
NC_133176.1	48060276	48060905	0.001552928	17.76950355	282	cgi319	0.04592969	66.41875	104	-0.044376762	No change	100001485;100001560		
NC_133185.1	36604659	36604978	0.400832792	10.11485507	135	cgi4922	0.445180736	58.96428572	28	-0.044347944	No change	no_gene		
NC_133184.1	31320598	31321714	0.163684116	18.01075269	558	cgi4397	0.119434983	81.59453782	76	0.044249133	No change	553630;141376149		
NC_133178.1	36173221	36173695	0.822798758	10.84327142	196	cgi1463	0.778611551	74.68181819	44	0.044187207	No change	565863		
NC_133196.1	8820199	8820508	0.014879036	15.91666667	156	cgi9484	0.059010728	168.075	40	-0.044131693	No change	no_gene		
NC_133196.1	30255083	30255302	0.904337069	15.1537594	123	cgi9599	0.948313094	17.875	27	-0.043976025	No change	562231		
NC_133196.1	9255962	9256244	0.269615769	10.13001949	116	cgi9493	0.313377625	132.375	24	-0.043761856	No change	554089;100136851		
NC_133193.1	40175106	40175900	0.00427514	12.00595238	336	cgi8240	0.047917159	34.93079004	81	-0.04364202	No change	65235		
NC_133192.1	58772428	58772844	0.91735484	16.54629629	216	cgi7970	0.960916731	73.33063097	65	-0.043561891	No change	406513		
NC_133198.1	49983623	49984202	0.925536406	25.75185185	270	cgi10482	0.969081439	30.53973868	98	-0.043545032	No change	100333199		
NC_133184.1	5364610	5365471	0.901437693	10.12751362	313	cgi4275	0.858011107	28.82719298	59	0.043426586	No change	561268;561333		
NC_133185.1	3304374	3304692	0.929001375	16.54257703	208	cgi4729	0.972369431	54.65480769	86	-0.043368057	No change	141376286;793308		
NC_133182.1	2575528	2575803	0.909726147	14.01199495	134	cgi3157	0.952896377	99.58333334	36	-0.043170229	No change	100150119		
NC_133196.1	50082580	50082957	0.066292634	10.14527629	203	cgi9722	0.109456606	56.74537037	74	-0.043163972	No change	678598		
NC_133181.1	387616	387832	0.92337096	15.25217865	107	cgi2708	0.966431175	70.38636364	44	-0.043060215	No change	557729;406514		
NC_133176.1	62529436	62529981	0.923900079	16.92037513	247	cgi498	0.966911402	70.77199074	105	-0.043011323	No change	406500		
NC_133198.1	39018896	39019201	0.003384034	14.59523809	126	cgi10367	0.046363555	126.6730769	52	-0.042979521	No change	30606		
NC_133180.1	74061273	74061656	0.936919086	10.12407407	171	cgi2492	0.893985006	24.4132353	54	0.04293408	No change	101055497		
NC_133197.1	17232792	17233138	0.939048481	20.22608696	115	cgi9995	0.981918328	40.78571429	28	-0.042869847	No change	555643		
NC_133199.1	25385268	25385629	0.936438396	15.11076389	188	cgi10633	0.979192932	80.89962121	92	-0.042754536	No change	100359398		
NC_133194.1	44183578	44183787	0.009847403	19.42156863	102	cgi8772	0.052417073	57.70833333	33	-0.04256967	No change	557667;30586		
NC_133178.1	57439231	57439583	0.900257647	11.43167702	136	cgi1541	0.942774285	20.63333333	36	-0.042516637	No change	30685		
NC_133184.1	55474734	55474950	0.561135462	14.08115468	107	cgi4525	0.603617478	65.3	20	-0.042482016	No change	no_gene		
NC_133178.1	5207656	5208262	0.927879328	17.56967054	255	cgi1179	0.970119826	97.85714284	33	-0.042240498	No change	100331840		
NC_133179.1	19024459	19024805	0.920687514	16.33928572	168	cgi1851	0.962903659	81.28203662	88	-0.042216145	No change	562678;562062		
NC_133180.1	10262400	10262885	0.000442282	15.8953736	251	cgi2177	0.042531404	84.23333333	22	-0.042089122	No change	100151158		
NC_133186.1	47593278	47593660	0.935286262	17.17777778	180	cgi5429	0.977290559	14.20833333	21	-0.042004297	No change	325167		
NC_133176.1	43438003	43438327	0.840545806	17.28491436	137	cgi287	0.882475599	35.16666667	36	-0.041929793	No change	101886283		
NC_133183.1	64256628	64257105	0.004187179	18.5340136	294	cgi4189	0.046041513	68.27874903	141	-0.041854334	No change	266721		
NC_133178.1	22447768	22448208	0.004099508	17.14705883	204	cgi1351	0.045934695	41.4777972	49	-0.041835187	No change	30339;30317		
NC_133177.1	56349124	56350565	0.007830235	18.05462185	714	cgi1001	0.049552009	75.66019904	135	-0.041721774	No change	100008558		
NC_133193.1	52059302	52059650	0.018176741	11.61494253	174	cgi8312	0.059747438	66.49206349	68	-0.041570697	No change	100002134		
NC_133179.1	18005628	18006318	0.000872781	18.22311828	372	cgi1844	0.042424893	90.64966039	125	-0.041552112	No change	30466		
NC_133178.1	20815418	20815641	0.870038698	16.37301587	126	cgi1331	0.911513244	65.8	40	-0.041474545	No change	567884		
NC_133177.1	41653615	41653928	0.424248114	15.65079365	126	cgi896	0.465566795	56.95454545	44	-0.041318681	No change	100007192		
NC_133183.1	18676597	18676982	0.00658855	14.68589744	156	cgi3899	0.047904896	43.25446429	38	-0.041316346	No change	566998		
NC_133191.1	44848095	44848816	0.911987493	10.84847536	339	cgi7387	0.953242953	63.49206349	59	-0.04125546	No change	101885642;569692;393214		
NC_133187.1	2504775	2504989	0.835350224	12.1375	90	cgi5524	0.876552845	13.95833333	21	-0.041202621	No change	no_gene		
NC_133182.1	26516933	26517625	0.00640483	16.22807018	342	cgi3380	0.047482172	52.6875	90	-0.041077343	No change	64812		
NC_133198.1	21969907	21970740	0.92672926	10.63442148	328	cgi10246	0.885683279	65.6	78	0.041045982	No change	100124652		
NC_133189.1	36544796	36545223	0.015153935	14.37745098	204	cgi6557	0.056068275	24.91666667	24	-0.04091434	No change	415097;368263		
NC_133191.1	57657708	57658020	0.00150364	17.4691358	162	cgi7485	0.042199248	13	34	-0.040695608	No change	100331282		
NC_133198.1	34347854	34348140	0.002220597	16.2625641	155	cgi10327	0.042904033	107.78125	32	-0.040683436	No change	100151323;100535931;431744		
NC_133193.1	39938492	39938801	0	10.11728395	162	cgi8238	0.040625	10.54166667	24	-0.040625	No change	561005		
NC_133178.1	67516568	67517099	0.933556543	18.43099594	245	cgi1617	0.974075558	31.56118421	54	-0.040519015	No change	60642		
NC_133189.1	740670	740900	0.881103978	14.63492063	130	cgi6287	0.92161372	17.82670455	44	-0.040509741	No change	100332622		
NC_133195.1	26040708	26041116	0.001332772	10.15432099	162	cgi9040	0.041799598	29.55823864	43	-0.040466826	No change	556491;553466		
NC_133189.1	5936473	5937081	0.000480769	12.30769231	312	cgi6422	0.040802988	15	20	-0.040322219	No change	368900		
NC_133187.1	167314	167980	0.931218531	23.60169491	354	cgi5464	0.971512763	74.30528256	169	-0.040294233	No change	324141		
NC_133192.1	58504618	58504849	0.84777261	13.28235294	100	cgi7960	0.888005051	11.15384615	30	-0.04023244	No change	407693		
NC_133183.1	59396962	59397441	0.93044642	12.26815947	198	cgi4107	0.890387894	81.45618131	38	0.040058526	No change	100331256		
NC_133196.1	15575943	15576572	0.01527728	14.75	336	cgi9533	0.055145845	43.02972028	50	-0.039868565	No change	100334777		
NC_133177.1	28876597	28876910	0.877493473	10.80064103	126	cgi815	0.917324409	92.32142857	28	-0.039830935	No change	572313		
NC_133189.1	35087765	35088005	0.583221776	17.62121212	132	cgi6538	0.543414441	42.27777778	33	0.039807335	No change	436829;100535763		
NC_133199.1	44077899	44078351	0.921256911	12.13238717	198	cgi10793	0.960942793	74.15416667	57	-0.039685882	No change	100463518		
NC_133178.1	10369369	10369582	0.936032259	15.70393375	136	cgi1223	0.975705994	78.09090909	44	-0.039673736	No change	100318080		
NC_133185.1	5874166	5874454	0.858209886	19.03846154	156	cgi4770	0.818551539	61.83333333	24	0.039658347	No change	561183		
NC_133195.1	40097143	40097663	0.448483629	14.07208727	233	cgi9124	0.408825284	10.56060606	43	0.039658344	No change	567088;141379386		
NC_133181.1	195666	196715	0.92133002	22.55479452	438	cgi2693	0.96097052	44.84990511	167	-0.0396405	No change	100333177		
NC_133176.1	257111	258031	0.941749063	19.83548066	593	cgi27	0.90212339	17.44305556	57	0.039625673	No change	100332762;407680		
NC_133185.1	315275	315561	0.910777925	27.44693487	179	cgi4660	0.950354807	44.35	40	-0.039576882	No change	393308		
NC_133176.1	57425914	57426258	0.00509347	11.50763547	143	cgi419	0.044647335	98	52	-0.039553865	No change	550445		
NC_133196.1	345607	346641	0.002171013	22.99295775	852	cgi9360	0.041710627	84.875	336	-0.039539615	No change	406556		
NC_133200.1	40230250	40230723	0.90162193	25.44623656	186	cgi11249	0.941108497	26.18099548	60	-0.039486568	No change	100333658		
NC_133188.1	56504786	56505080	0.872942428	24.49305556	144	cgi6229	0.91231127	91.47619049	84	-0.039368842	No change	555724		
NC_133197.1	612061	612325	0.878661221	18.47722222	149	cgi9785	0.917945644	81.70588235	68	-0.039284423	No change	560064		
NC_133183.1	318612	319183	0.925271601	14.62931642	262	cgi3732	0.964534092	25.12708333	63	-0.03926249	No change	100333625		
NC_133194.1	13689134	13689380	0	10.94952416	183	cgi8646	0.039250468	90.52083334	48	-0.039250468	No change	562665		
NC_133176.1	9961865	9962190	0.925825884	19.97916667	144	cgi131	0.886746705	28.7	20	0.03907918	No change	141384601;767710		
NC_133187.1	238661	238985	0.862277688	20.07833333	148	cgi5471	0.901321367	17.58333333	24	-0.039043679	No change	266676		
NC_133181.1	31470662	31471207	0.884302713	11.2340604	243	cgi2884	0.923226815	46.36111111	36	-0.038924102	No change	560357		
NC_133183.1	57548614	57549184	0.00176539	12.361424	229	cgi4086	0.040653721	92.24702381	35	-0.03888833	No change	568359		
NC_133177.1	7442259	7442477	0.836072493	13.06617647	101	cgi718	0.874951564	64.44318182	29	-0.038879071	No change	558034;558373		
NC_133198.1	1937934	1938149	0.235418463	12.59803922	102	cgi10160	0.196634917	49.21666667	56	0.038783545	No change	no_gene		
NC_133179.1	32351006	32352233	0.91008976	10.93358718	501	cgi1898	0.871316189	120.0277778	38	0.03877357	No change	137490091		
NC_133189.1	25655272	25655594	0.020075424	18.43236715	136	cgi6503	0.05873279	77.18421053	70	-0.038657366	No change	321664;30498		
NC_133190.1	1619837	1620367	0.716868392	11.00561087	229	cgi6777	0.678264964	92.91666666	36	0.038603427	No change	327373;100006971		
NC_133198.1	43604138	43604476	0.944129778	12.87300827	170	cgi10397	0.905576618	12.04814815	34	0.038553159	No change	793448;571146		
NC_133196.1	50127702	50127950	0.938869245	24.02564103	156	cgi9725	0.977396083	136.4342105	76	-0.038526838	No change	327175		
NC_133182.1	37600352	37600614	0.015730498	14.01388889	144	cgi3452	0.054187469	58.25568182	41	-0.038456971	No change	no_gene		
NC_133182.1	9412740	9412990	0.882490184	14.46495727	153	cgi3249	0.844064454	12.65185185	22	0.03842573	No change	100332050		
NC_133199.1	26328149	26328535	0.867892083	10.29686118	171	cgi10650	0.90627906	38.5439394	56	-0.038386977	No change	368485		
NC_133180.1	5568434	5569080	0.932176133	12.72206191	324	cgi2145	0.970559409	26.21599265	60	-0.038383275	No change	557590		
NC_133197.1	440817	441441	0.932478929	14.0308642	339	cgi9764	0.970836406	51.51028139	75	-0.038357477	No change	560426		
NC_133194.1	115000	115249	0.011367658	35.5308642	162	cgi8461	0.049721444	92.875	24	-0.038353786	No change	141378948;101883792		
