chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	predicted	PI_lower	PI_upper	outside_PI	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133195.1	1225733	1225973	0.941470546	14.06455863	137	cgi8892	0.794396134	64.75	40	0.769951179	0.617723552	0.922178807	TRUE	406794	0	0
NC_133193.1	481138	481373	0.838684714	15.82539682	126	cgi8042	0.690696094	46.51785714	35	0.667449369	0.515234605	0.819664133	TRUE	562833	0	0
NC_133177.1	61603090	61603437	0.752886627	16.60215054	186	cgi1051	0.605316433	64.80555556	36	0.583056251	0.4308494	0.735263103	TRUE	100151059	0	0
NC_133192.1	59470537	59470846	0.845485867	14.05342742	191	cgi8003	0.701132957	23.61812145	110	0.677765637	0.52554974	0.829981534	TRUE	100334361;394079;100003661	0	0
NC_133198.1	50081957	50082191	0.851923137	12.99902534	113	cgi10488	0.707863891	27.08333334	20	0.684418797	0.53220215	0.836635444	TRUE	403033	0	0
NC_133192.1	58615979	58616355	0.667707694	14.95665717	158	cgi7962	0.860273055	18.96666667	34	0.835066908	0.682829255	0.98730456	TRUE	100003863	prox2	prospero homeobox 2
NC_133179.1	19866300	19866822	0.18568361	14.59401709	234	cgi1861	0.372273931	39.85714286	28	0.352706503	0.200508933	0.504904072	TRUE	no_gene	no_gene	no_gene
NC_133180.1	22822128	22822370	0.710035285	15.51525055	107	cgi2246	0.901777873	54.45833334	24	0.876092146	0.723847439	1.028336854	TRUE	100002370	zc3h12b	zinc finger CCCH-type containing 12B
NC_133200.1	5227543	5227818	0.588494945	10.35	72	cgi10942	0.778191583	78.45833334	24	0.753933868	0.601708486	0.90615925	TRUE	101887155	pnpla2	patatin-like phospholipase domain containing 2
NC_133197.1	40616650	40616871	0.647303388	16.40441177	101	cgi10123	0.504534414	74.08333334	36	0.483438745	0.33123812	0.63563937	TRUE	553690	0	0
NC_133184.1	29251954	29252188	0.698491419	13.08762255	101	cgi4380	0.887484751	125.3	20	0.861964178	0.709721965	1.014206391	TRUE	567605	stxbp5l	syntaxin binding protein 5L
NC_133181.1	14577233	14577437	0.796257328	14.43137255	102	cgi2844	0.655771178	80.16666667	24	0.632928003	0.480716768	0.785139238	TRUE	407667	0	0
NC_133183.1	62277018	62277702	0.538171759	15.44741321	414	cgi4133	0.725031944	85.56666668	24	0.701388477	0.549169849	0.853607104	TRUE	406459	ppp1r3c2b	"protein phosphatase 1 regulatory subunit 3C2, duplicate b"
NC_133188.1	60969	61183	0.709578874	22.12121212	132	cgi5835	0.569382331	108.75	36	0.547537359	0.395333114	0.699741604	TRUE	393615	0	0
NC_133194.1	13160326	13160857	0.800926851	15.975	240	cgi8644	0.662381504	90.45714285	34	0.639461948	0.487250077	0.79167382	TRUE	557995	0	0
NC_133194.1	1084940	1085190	0.329529075	14.35153257	179	cgi8506	0.186616286	68.75	44	0.169194089	0.016991012	0.321397166	TRUE	141378956	0	0
NC_133180.1	78186377	78186673	0.770526189	14.98148148	162	cgi2527	0.95660049	79.55172414	116	0.9302813	0.778026398	1.082536202	TRUE	30455	lhx3	LIM homeobox 3
NC_133185.1	465673	466502	0.893948846	21.91812866	342	cgi4678	0.758396029	85.22307693	54	0.734367047	0.58214429	0.886589804	TRUE	570873;572476	0	0
NC_133190.1	37015093	37015363	0.421523909	13.05	118	cgi6962	0.280872059	136.7272727	44	0.262360759	0.110161908	0.41455961	TRUE	405819	0	0
NC_133187.1	21008183	21008485	0.691570717	10.27397583	175	cgi5604	0.554293977	71	62	0.532623348	0.38042007	0.684826626	TRUE	393307	0	0
NC_133194.1	51572971	51573564	0.752380938	28.49371069	318	cgi8854	0.615913187	103.48125	52	0.593530562	0.44132286	0.745738264	TRUE	393394	0	0
NC_133196.1	42793038	42793657	0.727681744	14.94444445	284	cgi9660	0.912328046	94.57692309	52	0.886520414	0.734273822	1.038767006	TRUE	556663	mntb	MAX network transcriptional repressor b
NC_133194.1	3416724	3417017	0.715596764	11.09271284	130	cgi8557	0.578712512	33.03461539	28	0.556759732	0.404554852	0.708964612	TRUE	777627;100034489	0	0
NC_133200.1	14960524	14960830	0.536343954	18.77777778	126	cgi11023	0.397384639	45.07800752	71	0.377527062	0.225329359	0.529724765	TRUE	445124	0	0
NC_133195.1	51019019	51019331	0.593969752	15.52666667	150	cgi9210	0.456423712	28.09375	32	0.435883952	0.283685111	0.588082794	TRUE	566838	0	0
NC_133191.1	26684593	26684840	0.752507629	10.8245614	114	cgi7296	0.616903278	64.96875	32	0.594509212	0.442301429	0.746716996	TRUE	100170824	0	0
NC_133177.1	63456401	63458077	0.612848032	20.25865314	817	cgi1102	0.795228449	78.43837147	241	0.770773877	0.618546132	0.923001622	TRUE	100333916	wu:fj49a02	wu:fj49a02
NC_133176.1	11355126	11355388	0.93182426	11.22402597	131	cgi149	0.798540196	61.26923077	52	0.774047358	0.621819142	0.926275573	TRUE	110439781;394023	0	0
NC_133182.1	54195255	54195461	0.482250646	12.9556781	105	cgi3550	0.6617931	20.625	21	0.638880343	0.486668528	0.791092157	TRUE	407985	tcf12	transcription factor 12
NC_133194.1	7256618	7256861	0.165023146	11.36443495	161	cgi8595	0.340752185	17.27941176	52	0.321548983	0.169351285	0.473746681	TRUE	100537384	pou2f2a	POU class 2 homeobox 2a
NC_133198.1	2960695	2961113	0.606872018	17.0484127	205	cgi10172	0.471126843	85.70833333	43	0.450417191	0.298217886	0.602616496	TRUE	100037310;141380616	0	0
NC_133189.1	2562375	2562768	0.184609568	18.44623656	186	cgi6369	0.360456608	65.57142857	28	0.341025726	0.188828147	0.493223305	TRUE	554047;554048;554053;554054;554055;554056	pcdh2g1;pcdh2g2;pcdh2g5;pcdh2g6;pcdh2g7;pcdh2g8	protocadherin 2 gamma 1;protocadherin 2 gamma 2;protocadherin 2 gamma 5;protocadherin 2 gamma 6;protocadherin 2 gamma 7;protocadherin 2 gamma 8
NC_133177.1	640839	641412	0.644305179	12.59435752	226	cgi647	0.824004837	40.46875	32	0.79921776	0.646985805	0.951449715	TRUE	100141333	znf1014	zinc finger protein 1014
NC_133187.1	143509	143724	0.672270327	19	114	cgi5456	0.539108852	33.86011905	29	0.517613684	0.365411303	0.669816065	TRUE	no_gene	0	0
NC_133186.1	46367426	46367898	0.424769183	17.37254902	204	cgi5393	0.289941824	95.08823528	68	0.271325724	0.119127125	0.423524324	TRUE	569678;548610	0	0
NC_133199.1	49619	49926	0.889713879	17.17948718	156	cgi10504	0.760434982	10.90625	25	0.73638244	0.584159418	0.888605462	TRUE	100329245	0	0
NC_133182.1	814162	814580	0.914902701	19.03703704	216	cgi3124	0.786170785	36.45833334	24	0.761820872	0.609594395	0.914047348	TRUE	560420;100333928	0	0
NC_133197.1	23144121	23144479	0.787392393	18.08585859	198	cgi10048	0.966813232	16.40554299	54	0.940376036	0.788119125	1.092632947	TRUE	560720	dennd1b	DENN/MADD domain containing 1B
NC_133191.1	46498783	46498984	0.927545362	10.88909314	100	cgi7397	0.799258065	62.58333334	48	0.774756931	0.622528613	0.926985249	TRUE	556212	0	0
NC_133179.1	11279916	11280384	0.882557845	11.92232552	222	cgi1799	0.754083462	105.4416667	45	0.730104311	0.577882108	0.882326513	TRUE	791563	0	0
